18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
11831	9	O=[CH0]([CH1]([CH2][#6])N)N([#6])[#6]	CN1CNC(C1=O)CC	O=C(N(C)C)C(N)CC=1C=CC=CC1	O=C1N(C)CCCC1N
11832	10	O[cH0](:[cH0](:[#6]):[#6]):[#6]	OC1=CNC=2C=CC=CC12	C=C1OC=2C(Cl)=C(O)C(Cl)=C(O)C2C(=O)C1=C	NC=1C=C(O)C=2N=C(C=C(C2C1O)C)C
11833	9	[cX3]1[cX3][cH0]([CX4]([CX4]))[nH0][cH1][cH1]1	N=1C=CC=CC1CCC	CC1=NC=2C(C=CN3C2CC(CC3)C)=C1C	C=C1C=CN=C(C1=C)CC(C)C
11834	6	[CX4]([CX4]([CX4][OH1]))[NX3]	OCCCNC	OC1CN(C)C(C=2C=NC=CC2)C1	CC(O)(C)C(O)C(N(C)C)C
11835	5	F[CH0]([#6])([#6])F	FC(F)(C)C	FC1(F)CC1	CC(F)(F)C1=CC=C2N=CC=CC2=C1
11836	11	[CX4][CH2][CH2][CH2][cH0]([cX3]a)[cX3]a	CCCCCC=1C=CC=CC1	C=C1N=C2C(=C(N)C1=C)CCCC2	CC1=CC=C2C(=C1C)CCCC2(C)C
11837	15	[cX3](a)([cX3](a)-[cX3](a)a)[OH0][CX4]	NC=1NC=C(C1C)C=2C=CC=CC2OC	OC1=C(O)C=C2C=3C=4C(OCC13)=CC(O)=CC4CC2	C=C1C(=C)OC(=C(OC(O)C)C1=O)C=2C=CC(O)=CC2
11838	7	[#8]=[CH0]([CH2][CH1]([#6])[#6])O	CC(C)CC(=O)O	CC1COC(=O)C1	CC(C=1C=CC=CC1)CC(=O)O
11839	8	[CX4]([CX4][CH3])[NX3][CH0]([NX3])=[OH0]	CNC(=O)NCCC	CC(N1CCN(C)C1=O)C(C)C	O=C1NC(C)C(N1)C
11840	13	O=[CH0](O[CH1]1[CH1]([#8])[#6]([CH1](O[CH1]1[#6])[#8]))[CH3]	O=C(OC1C(O)CC(O)OC1C)C
11841	11	[CX4][cH0]1[cH1][nH1][cH0]2[cH0]1[cH1][cH1][cH1][cX3]2	CCC1=CNC=2C=CC=CC21	CC(C)C1=CNC=2C=CC=CC21
11842	6	[CX4]([CH2][CH3])[CX3](=[OH0])	NC(=O)CCC	O=C(O)C(C=1C=CC=CC1)CC	CC(O)(C(O)=O)CC
11843	7	[NX3][CH0](=[OH0])[OH0][CH2][CX4]	O=C(OCC)NN	CN1C(=O)OCC1C=2C=CC=CC2	O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)N(C)C
11844	10	[cX3](a)[cH0]([cX3](a)[CX4]([CX4]))[CX3]	O=C1C=2C=CSC2CCC1	CC1OC=2C(O)=CC=C(C=C)C2C1C	O=C(C)C1=C(C)N(C)N=C1C(C)C
11845	9	[nX2](a)[cH0]([cX3]([cX3]a))[CX3]	NC(=O)C1=NC=CC=C1	C1=CC=2N=C1C=C3C=C(C(=N3)C=C4C=CC(=CC5=CC=C(C2)N5)N4)C	CN1N=C(C(=O)O)C(=C)C(=C)C1=O
11846	10	[CH3][CX4]([cX3](a)[cX3]a)[OH1]	CC(O)(C=1C=CC=CC1)C	CC=1NC(C)=C(C1C)C(O)C	NC=1C=C(O)C(O)=CC1C(O)C
11847	9	[CX4][CH2][CH1]([CH2][CX4])[OH0][CX3]	CC(=O)OC1CCCC1	NCCC1OC(=O)CC(O)C1	O=COC1CC(C)OC(CCC)C1
11848	9	[CX4]([CX4][CX3])[OH0][CX3](=[OH0])	O=C(OC(C)CC=C)C	O=C1OC(C2=COC=C2)C(C=C1)(C)C	O=C1OC(CC1)C(O)C=C
11849	13	[cX3](a)([cX3]a)[CX4]([CX4]([CH2][CH2][CH2][CX4]))	NCCCCCCC=1C=CC=CC1	O=C1C=C(C=C(N1O)C2CCCCC2)C	CC=1C=C(O)C(=C(O)C1C)C(O)CCCCC
11850	15	O[CH1]1[CH1]([CH1]([CH1](O[CH1]([#6])[#6])O[CH1]1[CH2]O)O)O	CC(C)OC1OC(CO)C(O)C(O)C1O
11851	7	[CX3]([CX4])[NH1][CX3]=[OH0]	C=C(NC(=O)N)C	O=C1CCC(O)C(=O)N1	OC(=O)NC(=O)C(C=1C=CC=CC1)C=2C=CC=CC2
11852	9	[CX3][CX4]([CX4]([CX4][CH0](=[OH0])[NX3]))	O=C(NC)CCCC=C	NC1C(=O)NC(=O)C(O)C1	O=C1N(O)CCC1(C)C(C)C(C)(C)C=C
11853	7	[#6][cH0]1:[cH0]([#6]):n:[cH1]:[cH1]1	CC=1C=CNC1C	N1=CC=C2C1=CC=C3NC(=NC(N)=C32)N	C=1C=CC(=CC1)N2C=CC=3C=CC=CC32
11854	6	[cH1]1:n:[cH1]:n:[cX3]1	CN1C=NC=C1	SC1=CN=CN1	CC1=CN=CN1C
11855	11	[CX4]([CX3][OH1])[NH1][CH0](=[OH0])[CX4]([CH2][CX4])	O=C(O)C(C)NC(=O)CCC	O=C(O)C(C)NC(=O)C1NCCC1	O=C(O)C(C)NC(=O)C(N)CCS
11856	16	[CX4]([CX4][OH0][CH1]1[CH1]([CH1]([CH1]([CH1]([OH0]1)[CX4])[OH1])[OH1])[OH1])[OX2]	COC(C)COC1OC(C)C(O)C(O)C1O	OCC1OC(OC2(CCOC2(C)C)C)C(O)C(O)C1O	OCC1OC(OC(O)(C)C(C)O)C(O)C(O)C1O
11857	11	[cX3](a)([cH1][cX3](a)[OH1])[CX4]([CX4][OH1])	OC1=CC=C(C=C1O)CCO	O=C1OC(=CC(O)=C1C)C(C)(C)C(C)O	OC1C2=CC(O)=C(C(O)=C2COC1(O)C)C
11858	11	[CX3](=[OH0])[CH1]=[CH1][cH0]1[cH1][cH1][cX3]([cH1][cH1]1)	CC(=O)C=CC=1C=CC=CC1	OC1=CC=C(C=C1)C=CC(=O)C=2SC=CC2	NC(=O)C=CC1=CC=C(Cl)C=C1
11859	12	[CH3][cH0]1:n([#6]):[cH0](:[#6]):[cH0](:[cH0]1[#6]):[#6]	CC=1C=2C=CC=CC2N(C)C1C	CC=1C=2C=C(O)C(=C)C(=C)C2N(C)C1C	CC=1C=2C=C(O)C(Br)=CC2N(C=3C=CC=CC3)C1C
11860	12	[CX4]([CX4]([CX4])[cH0]1[cH0]([CX4])[cH1][cH1][cX3]([cX3]1))	OC(C=1C=CC=CC1CC)(C)C	BrC1=CC=C2C(=C1)C3(CNC2)CC3	CC=1C(N)=CC=C2C1C3C(C)CC3CC2
11861	6	[CX4][CX4]([CX4][CX4][CX3])	C=CCCCC	O=C1CCCCC1	C1=CCC2CC1C2
11862	7	[CX4][NH0]([CX4])[CH2][CX4]([CX4])	OCCCN(C)C	C1CN2CCC1CC2	CCN1CCC(C)(C)C1(O)C
11863	8	[CH2]1[CH2][#6][#6]N([#6])[CH1]1[#6]	CN1CCCCC1C	CN1C2=CC=C(F)C=C2CCC1C	CN1CCCCC1C=2C=NC=CC2
11864	10	[CX4][CX4]([CX4][CH2][CX4][CX3])[CH3]	C=C(C)CCCC(C)CC	CC1OC2=CC(=O)C(O)CC2(C)C1C	CC(C)(C)C1CCC(=C)CC1
11865	6	[CX3]=[CX3][CH0](=[OH0])[OH1]	CC=CC(=O)O	O=C(O)C(N)=C	CC(O)=C(C)C(=O)O
11866	12	[cX3]([cX3](a)[CH3])[cX3]([cX3]([cX3](a)[CH3]))	CC=1C=2C=C(C=CC2NC1C)C	CC1=CC(=NC2=C1C(=NN2C)C)C	CC1=CC=C(C2=CC=C(C2=C1)C)C
11867	13	[CX4][NH1][CX3][cH0]1[cH1][cX3]([cH0]([cX3]([cH1]1))[OH0][CH3])	OC1=CC(=CC=C1OC)C(=O)NC	CC1=CC(=CC=C1OC)C(=O)NCC=2C=NC=CC2	CC(C)NC(=O)C1=CC=C(OC)C=C1
11868	10	[CX3](=[CX3])[CX4]([CH1]([CX4])[CX3])	C=C1CCCC1CC=CC	CC1C2OC(C=C2)C1C(=O)N	CC(O)C(C(=C)C)C(C)(C=C)C
11869	12	[cX3](a)([cH0]([cX3]([cX3](a)[CX3]))[cH1][cX3]a)a	C=CC1=CC=C2N=CC=CC2=C1	NC1=C(F)C=C2C(=O)C(=CN(C)C2=C1Cl)C(=O)O	O=CC=1C(=O)NC=2C(O)=C(O)C=CC2C1O
11870	8	[#8]=[CH0]([CH2][CH2][#6])N[CH2][#6]	O=C(NCC)CCC	O=C1N2C=3C(=CC=CC3CC2)CC1	O=C1N(CCC1)CC
11871	8	[CX4][CH0](=[OH0])[NH1][CH1]([CX4])[CX4]	O=C(NC1CC1)CC	CC1(C)C(=O)NC(CC2=CNC=3C=CC=CC32)C1C	O=C(NC(C(O)C)C(Cl)C)C(N)C
11872	10	[cX3]1[cH1][cX3]([cH0]([cX3]([cH1]1))[CX3][OH1])	O=C(O)C=1C=CC=CC1O	C=C(O)C1=C(C)C=C(C=C1O)C
11873	12	[CX4]([CX4][CH0](=[OH0])[NX3][cH0]1[cH1][cH1][cX3]([cH1][cH1]1))	O=C(NC=1C=CC=CC1)CCC	NC1=CC=C(C=C1)N2C(=O)CCCC2	O=C(N(C)C1=CC=C(Cl)C=C1)C(C)C
11874	11	[CH3][CX4]([CH1]([CX4][OH1])[OH0][CX3]=[OH0])	O=C(C)OC1C(O)CCC1C	O=C1OC(C(C)O)C(C)(C1)C	O=C(OC(C(C)C)C(O)(C)O)C=1C=NC=CC1
11875	9	[#6][CH0]([#6])([CH1](O[#6])[CH2][#6])[CH3]	COC1CCCC1(C)C	CC(C)(C)C(OC)CC	CC(C)(C)C1OCCC1
11876	12	[CH2]([CH2][CH2][CX4]([CH2][CH2][CH2][CH2][CX3](=[OH0])))[CX4]	O=C(N)CCCCCCCCC	O=C(C)CCCCCCCCC(C)C	O=C(O)CCCCCCCCCC
11877	9	[CX4]([CH1]([CX4])[CX4][OH1])[NX3]	CN1CCCC(CO)C1	CC(N(C)C)C(C(C)O)C(C)(C)O	OC1(CCNC(C=2C=CC=CC2)C1C)C=3C=CC=CC3
11878	13	[nX3]([cX3](a)[cX3]([cH1][cH1][cX3]a)a)[cX3](a)[CX4]	NCC1=CN=C(N1)C=2C=CC=CC2	CC=1C=2C=CC=3C=CC=CC3C2N(C)C1C	FC=1C=CC2=C(C=CC=3N=C(NC32)C(C)(C)C)C1
11879	12	[NX3]([CX4])[CX4]([CX4]([cH0]1[cH1][cH1][cH1][cH1][cX3]1))	OC=1C=CC=CC1CCNCC	CN1C2NC=3C=CC=CC3C2(N)CC1(C)S	C1=CC(N(C)C)CC=2C=CC=CC12
11880	9	[CX4]([CX4]([CH1]([CX4][CX3])[OH1]))[OH1]	C=CC1CC(O)CC1O	O=C(N)CC(O)C(N)CO	CC1(C)C=CC(O)C(N)C1O
11881	5	[CX4]([CX4][NX3])[SX2]	SSCCN	C1SCCN1	CNC(C)CSC=1C=CC=CC1
11882	9	[CX4]1([CX4][CH2][CX4]([CH2][CH2]1)[CX3](=[OH0]))	O=C(N)C1CCCCC1	CC1CC(C=O)(C)CCC1(C)C	O=C(O)C1(C=2C=CC=CC2)CCCCC1
11883	7	O[CH2][CH0](=[CH1][#6])[CH2][#6]	CC=C(CO)CC	C1OCC(=C1)CC
11884	6	[CH3][CH1]([CH2][CH2][#6])[#6]	CC(C)CCC
11885	12	[CX4]([CX4]([CX4]([cH0]1[cH1][cH1][cH1][cH1][cX3]1)))[CX3]	O=C(N)CCCC=1C=CC=CC1	CC(C)(C(C=C)C)C1(CNC=2C=CC=CC21)C	CC1C=2C=CC=CC2C(=O)CC1
11886	6	[cH1]1:[cH1]:[cH0]([#6]):o:[cX3]1	CC=1OC=CC1	N1=C(NC(C=2C=CC=CC2)=C1C=3C=CC=CC3)C=4OC=CC4	CC=1OC(N)=CC1
11887	13	[cH1]1[cH1][cH0]([cX3]([cH1][cH0]1[ClH0]))-[cX3](a)[nH0][cX3](a)	ClC1=CC=C(C=C1)C=2N=CNC2C	ClC=1C=CC(=C(Cl)C1)C=2N=C(SC2)N	S=C1NN=C(C=2C=CC(Cl)=CC2Cl)N1C
11888	13	O=[CH0]1[#6][#6](O[cH0]2:[cH0]1:[cH0](:[#6]:[cH0](:[cH1]2)O)O)	O=C1CCOC=2C=C(O)C=C(O)C12	OC=1C=C2OCCC(=O)C2=C(O)C1C
11889	6	O[CH0]([#6])([#6])O[#6]	CC(O)(OC)C	COC(O)(C=1C=CC=CC1)C=2C=CC=CC2	COC(C)(O)C=1C=CC=CC1
11890	8	Cl[cH0](:[cH0](:[#6])N):[#6]	ClC=1C=CC=CC1N	NC=1C=NN(C(=O)C1Cl)C	ClC=1C=CC2=NSN=C2C1N
11891	11	[CX3]=[CH1][CX4]([CX4]([CH1]([CX4]([CX3]))[OH1]))	C=CCC(O)CC(O)C=CC	O=C(O)C1(O)C=CCCC1O	O=C1CC(O)C(C)C1C=CC
11892	9	O=[CH0]([#7])[CH1](N([CH2][#6])[#6])[#6]	CCN1CNC(=O)C1C	CN(CC)C(C)C(=O)N	CN1CCCC1C(=O)N
11893	4	[CH3][CH2][CX3]	C=CCC	O=C(O)CC	C=C(C=1C=CC=CC1)CC
11894	9	[CH3][NX3]([CH1]([CH2][CX4])[CX4])	NC1CCCCC1NC	CC(C=1C=CC=CC1)(C=2C=CC=CC2)CC(N(C)C)C	OC1COC(C)CC1N(C)C
11895	6	[cH1]1:[cH1]:o:[cX3](:[cH0]1[#6])	CC1=COC=C1	CC1=NC=2OC=CC2C(O)=C1C	OC1=CC=2OC=CC2C=C1C
11896	6	O=[CH0]([CH0](=[#6])[#6])N	CC(=C)C(=O)N	CC(=C)C(=O)N	CC(=C)C(=O)N
11897	9	[#8]=[CH0]([#6])[CH0]([CH0](=[#6])[#6])([#6])[CH3]	O=C1CCC(=C)C1(C)C	CC(=O)C(C(=C)C)(C)C
11898	17	[CX4]([CH2][CX4]([CX3](=[OH0])))[CH1]1[CH2][CH2][CX4]([CH0]1([CX4][OH1])[CH3])	O=C(N)CCC(C)C1CCC(C)C1(C)C(O)C	O=C(O)C(O)CC(C)C1CCC(C)C1(C)C(O)C
11899	11	[CX4]([CX4]([CX4]([CH1]([CH1]([CX4][OH1])[OH1])[OH1])))	CC(O)C(O)C(O)CCCC	OC1CN2CCC(O)C2C(O)C1O	CC1C(O)C(O)C(O)(C)C1C(O)O
11900	9	[CX4]1[CH1]([OH0][CX4]([CX4]1))[CH2][OH1]	NC1OC(CO)CC1O	OC1C(OC(O)(C)C1O)CO	NC1OC(CO)C(O)C1(F)F
11901	11	[CH3]O[cH0]1:[cH0](:[cH1]:[cH0](:[cH0]([#6]):[cX3]1)[#8])O	OC=1C=C(O)C(OC)=CC1C	CC=1C(N)=C(OC)C(O)=CC1O
11902	9	[#6][cH0]1:[cH1]:[cH0]([#8]):[cH1]:[cH1]:[cH0]1[#6]	CC1=CC=C(O)C=C1C	OC=1C=CC=2C=CC=CC2C1	CC=1N=C(C=2C=C(O)C=CC2C1O)C
11903	12	[CH3][CH0]1([CH2][#6][#6]([CH1]([CH2]1)[CH0](=[CH1][#6])[#6]))[CH3]	CC(=CC)C1CCCC(C)(C)C1
11904	11	O=[CH0]([cH0]1:[cH0]([#6]):[cH1]:[cX3](:[cH1]:[cH0]1O))O	CC1=CC=CC(O)=C1C(=O)O	OC=1C=C(O)C=2C(=O)OCC2C1	O=C(O)C=1C(O)=CC(O)=CC1C
11905	12	[#6][CH1]([CH1]([cH0](:[cH1]:[#6]):[#6])[#8])[#7]	OC1C=2C=CC=CC2CCC1N	CC=1N=C(C)C(C)=C(C1)C(O)C(N)C	CC(N)C1OCC2=C(O)C(O)=CC=C21
11906	8	[CH3][CH0]([CH1]([#6])O)(O[#6])[CH3]	CC1OCOC1(C)C	COC(C)(C)C(O)C
11907	8	O=[CH0]([#6])[CH1]([CH1]([#6])O)O	O=C(C)C(O)C(O)C	CC(=O)C(O)C(O)C=1C=CC=CC1
11909	8	O=[CH0]([#6])N[CH0]([CH3])([CH3])[#6]	CC(NC(=O)C)(C)C	O=C(NC(C)(C)C)C=1C=CC=CC1	O=C(C)NC(C=1C=CC=CC1)(C)C
11910	8	[CH3][CH1]([CH1]([CH2][#6])O[#6])[#6]	COC1CCCC1C	CC(C)C(OC)CC=1C=CC=CC1	C1=CCC(O1)C(C)C
11911	15	[CX4][cH0]1[cX3][cX3]([cX3]([cH0]([cX3]1)[CX3][cX3](a)[cH1][cH1][cX3]a))	C=C1C2=CC=CN=C2C=3C=CC(=CC13)C	N=C(C=1C=CC=CC1)C2=CC(N)=CC3=C2NCC3	O=C(C1=CC=C(O)C=C1)C2=C(O)C=C(O)C(=C2O)C(O)C
11912	11	[#8][CH1]([#6])[CH2][CH1]=[CH1][CH2][CH1]=[CH1][CH2][#6]	CC(O)CC=CCC=CCC	CCC=CCC=CCC1OC1
11913	7	[NX3][CH2][CX3]=[CX3]([CX4])	CNCC=CCO	NN1CCC=CC1	CC1=C(CN(C)C1)C(C)(C)C
11914	9	[CH2]([CX4])[CH1]([CX4])[NH0]([CX4])[CH2][CX4]	CCN1CCCCC1C	OC(C=1C=CN=C2C=CC=CC21)C3N4CCC(CC4)C3	OC1(N)CCC2CC1N(C)CC32OC3
11915	12	[CX4]([CX4]([CH2][cH0]1[cH0]([cX3]([cX3]([cH1][cX3]1)))[OH1]))	OC1=CC=CC(=C1O)CCCC	CC1OC=2C=C(O)C=C(O)C2CC1O	OC=1C=C(O)C(=C(C1)C)CC(O)C(O)(C)C
11917	11	[CX4][CX4][CX4]([CH2][CH2][CX4])([CX4][CH3])	CCCC1(CNCCC1)CC	CC1CC(C)CCC1C(C)C	CC(C(O)C)C(CCC(O)C)C(C)C
11918	10	[CH3][CX4]([cX3]([cX3]([cX3]([cX3]a)))a)[CH3]	CC=1C=CC=CC1C(C)C	O=C1OC(=C)C(=C)C=C1C(C)(C)C	CC=1C(C)=C(O)C2=C(OCC2(C)C)C1C
11919	7	[CH2]([#6])[CH2][CH1]([#6])O[#6]	COC(C)CCC	CC1OCCCC1
11920	9	[CH2]([CH1]([#6])[#6])[CH2][CH0](=[CH1][#6])[#6]	CC=C1CCC(C)CC1	CC(C)CCC(=CC)C	CC=C(C)CCC1CC1
11921	9	[cX3]1[cX3][cH1][cH1][cH0]([cH0]1[CX4])[OH1]	NCC=1C=CC=CC1O	SC(S)C1=CC(Br)=CC=C1O	CC1=CC=C(O)C(=C1O)C(O)C
11922	10	[cH1]([cH1][cX3](a)[nH1][cX3]a)[cX3]a	CC1=CNC=2C=CC=CC12	OC=1C=CC=2NC(=O)C=CC2C1	SC1=NC=2C=CC=CC2N1
11923	3	[CH3][CH1]=[#6]	C=CC
11924	10	[CX4]([CX4]([CX4]([NX3])[CX4]([CX4][CH3])))	CCC(O)C(N)CC(C)C	O1N2SCC34CCC(CC123)C4(C)C	OC1OC(C)C(O)C(N)C1O
11925	8	[CH3][CH0](=[CH1][CX4])[CX4]([CX4])	CCC=C(C)CCC	CC(O)C1CCC(C=C1C)C	OC(C)(C(=CC(C)C)C)C(C)C
11926	6	[CX4][CH2][SH0][CX3]=[OH0]	NC(=O)SCC	O=C1NCCS1	O=C(SCCN)C1=CC=CN1
11927	7	[cH1]1:n:[cX3]:n:[cX3](:[cH0]1[#6])	CC=1C=NC=NC1	O=C1NC(=S)N(C)C=C1C	SC=1N=CC2=C(N1)NC3=CC=CC=C32
11928	13	[CX4]([CH0](=[OH0])[OH1])[NH1][CH0](=[OH0])[CX4]([CH2][CX3](=[OH0]))	O=C(O)CCC(=O)NC(C)C(=O)O	O=C(O)CNC(=O)C(N)CC(=O)N	O=C(O)C(C)NC(=O)C(N)CC(=O)N
11929	16	[CX4](a)[CX4]([cH0]1[cX3][cH1][cH0]([cH1][cH1]1)[OX2])	OC(C1=CC=C(OC)C=C1)CN2C=NC=C2	OC1=CC=C(C(O)=C1O)C2COC3=CC(O)=CC=C3C2	C=C1C(=C)OC=C(C1=O)C(C)C(C)C2=CC=C(O)C=C2
11930	8	[CX4]1[CH2][CH2][CX4]([CX4]([CX4]([CX4]1)))	NC1CCCCCC1	SC1C(C)CC2(CC1(C)CC2)C	CC1C(O)CC2NC1CC2
11931	8	Br[cH0]1:[cX3]:[cH1]:[cH1]:[cX3](:[cH1]1)	SC=1C=CC=CC1Br	CC1=CC=C(F)C=C1Br
11932	13	O=[CH0]([CH1]([#7])[#6])O[CH1]([CH0](=O)[#7])[CH1]([CH3])[#6]	NC(=O)C(OC(=O)C(N)C)C(C)C
11933	10	[#6][CH2][CH1]([#6])[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1	CC(C=1C=CC=CC1)CC	N=1C=CC=CC1C(C=2C=CC=CC2)CC
11934	7	O[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1	OC=1C=CC=CC1
11935	12	[cX3]1[cH1][cH0]([cH1][cH0]([cH0]1[OX2])[OX2])[CX4]([CX4][CX4])	OC1=CC=C(C=C1O)CCCC	O1C2=CC=C(C=C2OCC1)C3NCCC3	CC(C)(C1=CC=C(OC)C(OC)=C1)C(C)C
11936	10	O[cH0]1:[cH1]:[cH1]:[#6](:[cH1]:[cH0]1[CH0](=O)[#7])	O=C(N)C=1C=CC=CC1O	O=C(N)C1=CC(=CC=C1O)C2=CSC=C2	O=C(N)C1=CC(S)=CC=C1O
11937	9	[CH3]O[cH0](:[cH0](:[#6])[#6]):[#6]	CC=1C=CC=CC1OC	CC=1OC(=O)C(=C(OC)C1C)C	CC=1N=C(O)C(C)=C(OC)C1C
11938	7	[CH3][CX4]([CH2][CX4])([CH2][CX4])	CCCC(C)CC	OC1(C)OCCC(C)C1	NC1(C)CCNCC1
11939	9	[CX3](=[CH1][CX3](=[OH0]))[CX4]([CX4][OH1])	NC(=O)C=C(C)CCO	CC(O)C1CCC(=O)C=C1C	CC(C=CC(=O)O)C(C)(O)C
11940	15	[CH3][CH0](=[OH0])[OH0][CH1]([CH2][CX4])[CH0]([CX4][CH2][CX4])([CH3])[CH3]	CCCC1CCCC(OC(=O)C)C1(C)C	CC(O)CC1CC(O)CC(OC(=O)C)C1(C)C	CCCC1CC(O)CC(OC(=O)C)C1(C)C
11941	8	[CH3][CH0]([#6])([CH1]([#6])[CH1]=[#6])[#6]	CC1C=CCC1(C)C	C=CC(C)C(C)(C)C
11942	9	[cX3](a)([cH0]([oX2]a)[CH3])[CX4]	NCC=1OC(=O)OC1C	SCC=1N=C(OC1C)C=2SC=CC2	OCC=1C(=NOC1C)C
11943	9	[CH3][cH0](:[cH0](:[cH0](:[#6])[#6])[#6]):[#6]	CC=1C(C)=CN=CC1C	CC=1OC(=O)C(=C(C1C)C)C	N=1C=2C=CC=CC2C3=CC=4C(C=CNC4C)=C(C13)C
11944	10	O[cH0]1:[cX3]:[cH0](:[cH0](:[cH0](:[cH1]1)[#6])[#6])[#8]	CC=1C=C(O)C=C(O)C1C	CC1=C(O)C(Cl)=C(O)C=C1C	CC1=C(O)C2=C(O)C(=C(O)C=C2C=C1C)C
11945	8	O[CH1]([CH1]([CH1]([#6])O)[CH3])[#6]	OC1CCC(O)C1C	OC(C)C(C)C(O)C	OC(C)C(C)C1OC1
11946	9	[CH3]O[cH0]1:[cH1]:[#6](:[cH0](:[cH1]:[cH1]1)[#7])	NC1=CC=C(OC)C=C1	ON1=CC=C(C2=CC(OC)=CC=C21)C(O)C3CC4CCN3(O)CC4C=C	CC1=CN=C2C=CC(OC)=CC2=C1N
11947	11	[cX3](a)([cH1][cH1][cX3](a)[CX4])[CH0](=[OH0])[OX2]	O=C(O)C1=CC=C(C=C1)CS	O=C(OC)C=1C=CC(=NC1Cl)C(F)(F)F	O=C(OC)C1=CC=C(C(N)=C1)C
11948	9	[#8]=[CH0]([#8])[CH0]([#6])=[CH0]([CH2][#6])[#6]	O=C(O)C=1CCCC1C	O=C1OCC(=C1C)CC	CC(C(=O)O)=C(C)CC
11949	8	[CX4][CH2][cH0]([cX3]a)[nX3]a	NCCC1=CN=CN1	N=C1SC2=C(N1C)CCCC2	C1NCCC=2NC(=CC12)C=3C=CN=C(C3)C4=CN=C5C=CC=CC5=C4
11950	12	[#8]=[CH0](N1[CH1]([CH2][CH2][CH2]1)[#6])[CH1]([#6])N[#6]	CNC(C(=O)N1CCCC1C)C	CN1CC2N(C(=O)C1C)CCC2	CNC(C)C(=O)N1CCCC1C2=NC=CS2
11951	8	[CX4]([CH1]([CX4][OH0][CX3])[OH1])	NC1OC(=C)CC1O	O=COCC(C)O	O=C(OC1(C)CCC(C)C1O)C
11952	11	[CX4]([CX4])[CX4]([CX4][cX3](a)[cH1][cH1][cX3](a))	NCCCCC=1C=NC=CC1	O=C1OC=C(C=C1)C2CC3(C)OC3C2O	CC1=C(O)C(=CC=C1O)C(O)CC(O)(C)C
11953	12	O[CH1]1[CH2][CH0]2([#6]([#6]([CH2][CH1]=[CH0]2[#6]([#6]1))))[#6]	OC1CCC2=CCCCC2(C)C1
11954	13	[cX3]1[cH1][cH1][cH0]([cH1][cH1]1)[NH0]([CH2][CX4])[CH2][CX4]	CCCN(C=1C=CC=CC1)CCC	N=1C=CC(C=2C=NN3C=C(C=NC23)C=4C=CC(=CC4)N5CCNCC5)=C6C=CC=CC16	CC1=CC=C(C=C1)N2CC(NC(C)C2)C
11955	5	[CH3][CH2][CX4][OH1]	OC(C)CC	CC(C)(O)CC
11956	9	[cH1]1:[cH0](:[cH0]([#7]):[cH1]:[cH1]:[cH0]1[#7])[#7]	NC1=CC=C(N)C=C1N	CN1N=C2C=CC(N)=CC2=N1	N1=CSC=C1C2=NC3=CC=C(N)C=C3N2
11957	10	[CX4]1([CX4]([CX4][CX4]([NH1][CX3])([CX4]([CX4]1))))	O=C(N)NC1CCCCC1	O=C1C=CC2(C)C(C)C(C)CCC2N1	O=CNC1CC(N)C(O)C(O)C1O
11958	7	[#7][cH0]1:n:n:[cH0](:[cX3]1)[#6]	CC1=CC(=NN1)N	N=1C=NC2=C(C1N)C(=NN2C)C=3C=NC=4C=CC=CC4C3	CC1=NN2C(N=C(C=C2C=3C=CC=CC3)C=4C=CC=CC4)=C1
11959	10	[#6][CH1]([cH0](:[#6]):[cH1]:[cH0]([#6]):[#6])[CH3]	CC(C=1C=CC=C(C)C1)C	OC=1C=C(C)C=C2C1OCC2C	CC=1C=C(C(O)=C(Br)C1C)C(C)C
11960	9	[#8][cH0]1:[cH0]([CH2][#7]):[#6](:[#6](:[cH1]:[cH1]1))	OC=1C=CC=CC1CN	OC1=CC=C(C)C=C1CN2N=NC=3C=CC=CC32	NC1=CC=C(O)C(=C1C)CN
11961	5	[CH3][CX4][NH1][CX4]	CCNCC	CC1CCC(C)(N1)C	CC(NC(C)(C)C)C
11962	13	O[cH0]1:[cH1]:[cH0](:[#6]:[#6](:[cH0]1:[#6]))O	CC1=CC=2C(O)=CC(O)=CC2N1C	C=C1OC=2C=C(O)C=C(O)C2C(=O)C1=C	CC1=CC=2C(O)=CC(O)=C(C)C2OC1=O
11963	17	[CH3][CH0]1([#6]([CH2][CH2][CH0]2([CH1]1[CH2][CH2][CH0]([CH1]2[CH2][#6])([#6])[CH3])[CH3]))[CH3]	CC1(C)CCC2C(CCCC2(C)C1CC)(C)C
11964	8	Cl[cH0](:[#6]):[cH0](:n:[#6])[#6]	CC=1N=CN=CC1Cl	CC1=CN(C)C2=C(Cl)C(N)=C(F)C=C2C1=O	O=C1OC(=O)C=2C=CC=C(Cl)C2N1
